name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;165;0;165;3151;1524;3151;1547;0
header;140;133;140;169;1779;169;1779;133
A;957;195;957;221;976;221;976;195
A;380;291;380;298;386;298;386;291
A;561;383;561;389;567;389;567;383
A;442;427;442;435;450;435;450;427
B;954;879;954;906;974;906;974;879
A;539;1018;539;1043;553;1043;553;1018
A;1348;1313;1348;1325;1354;1325;1354;1313
A;737;1341;737;1367;751;1367;751;1341
A;1434;1404;1434;1416;1440;1416;1440;1404
A;969;1469;969;1471;971;1471;971;1469
C;948;1545;948;1576;970;1576;970;1545
A;1419;1586;1419;1596;1424;1596;1424;1586
A;580;1709;580;1735;594;1735;594;1709
B;1306;1756;1306;1775;1320;1775;1320;1756
A;1332;1815;1332;1827;1338;1827;1338;1815
A;922;2075;922;2101;937;2101;937;2075
D;953;2215;953;2242;972;2242;972;2215
A;1042;2351;1042;2368;1057;2368;1057;2351
D;987;2434;987;2461;1020;2461;1020;2434
B;638;2765;638;2783;664;2783;664;2765
B;191;2812;191;2829;217;2829;217;2812
A;1219;3081;1219;3087;1227;3087;1227;3081
