name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;591;0;756;3151;1128;3151;1104;0
header;273;220;273;253;1898;253;1898;220
A;636;286;636;293;642;293;642;286
A;1073;614;1073;642;1094;642;1094;614
B;1044;1031;1044;1050;1059;1050;1059;1031
B;895;1123;895;1141;909;1141;909;1123
B;1074;1279;1074;1306;1094;1306;1094;1279
B;909;1534;909;1554;925;1554;925;1534
C;1069;1947;1069;1975;1090;1975;1090;1947
D;1070;2616;1070;2643;1091;2643;1091;2616
B;925;2668;925;2694;943;2694;943;2668
A;856;3041;856;3041;856;3041;856;3041
